Id,SalePrice
1461,152974.14
1462,168077.55
1463,181129.5
1464,179596.02
1465,175073.92
1466,172345.33
1467,153982.14
1468,156676.92
1469,179553.3
1470,133534.84
1471,184792.42
1472,126393.61
1473,139449.8
1474,163021.52
1475,109202.92
1476,287957.22
1477,249114.25
1478,271908.56
1479,261066.19
1480,431375.97
1481,290005.9
1482,191898.7
1483,172698.3
1484,154921.67
1485,132668.2
1486,180655.25
1487,315808.4
1488,254187.89
1489,183467.81
1490,197088.52
1491,185906.8
1492,125484.06
1493,189136.2
1494,292955.28
1495,270124.6
1496,197250.86
1497,190832.47
1498,145493.45
1499,139162.38
1500,152680.98
1501,222164.2
1502,129975.5
1503,231735.92
1504,208045.14
1505,205896.9
1506,242613.02
1507,269468.9
1508,228316.67
1509,168592.67
1510,176886.42
1511,166961.95
1512,214229.27
1513,170998.45
1514,178772.92
1515,239516.61
1516,185331.8
1517,144021.58
1518,215818.83
1519,231819.9
1520,149767.36
1521,153889.08
1522,207472.95
1523,137980.55
1524,125057.3
1525,123384.84
1526,121404.266
1527,128509.39
1528,123461.234
1529,161456.2
1530,189356.58
1531,193879.36
1532,87810.67
1533,185998.11
1534,121353.61
1535,154969.0
1536,137639.58
1537,137199.17
1538,145281.39
1539,192293.06
1540,168364.34
1541,164814.36
1542,164763.34
1543,190805.86
1544,88096.42
1545,111722.42
1546,143460.42
1547,157412.7
1548,145392.64
1549,132163.8
1550,172110.58
1551,131168.86
1552,204889.23
1553,113396.92
1554,112444.47
1555,197174.64
1556,112451.59
1557,128688.7
1558,96662.89
1559,137999.27
1560,172765.19
1561,191789.08
1562,119903.234
1563,109524.05
1564,189916.73
1565,159985.44
1566,207046.2
1567,104614.78
1568,229026.28
1569,173602.56
1570,124554.484
1571,135810.39
1572,144138.14
1573,210249.48
1574,174228.97
1575,202537.72
1576,246388.14
1577,182638.52
1578,144905.67
1579,143025.73
1580,186128.8
1581,125652.875
1582,129207.2
1583,297624.28
1584,229799.62
1585,129371.89
1586,42628.41
1587,98066.14
1588,150327.77
1589,139102.98
1590,136842.64
1591,94455.16
1592,145061.58
1593,118020.86
1594,162037.12
1595,136147.83
1596,238886.38
1597,237816.5
1598,158995.4
1599,154506.95
1600,167730.27
1601,63108.566
1602,139076.89
1603,106698.34
1604,223135.95
1605,228987.64
1606,170327.44
1607,277420.1
1608,198623.64
1609,168902.25
1610,136784.97
1611,163972.17
1612,201359.6
1613,197815.67
1614,115855.016
1615,86158.86
1616,86136.14
1617,111959.234
1618,111824.55
1619,125615.72
1620,258305.69
1621,153583.39
1622,149927.36
1623,223176.55
1624,213831.89
1625,131660.52
1626,215875.33
1627,179575.98
1628,251595.02
1629,148715.78
1630,298936.53
1631,192487.4
1632,218801.73
1633,132734.58
1634,178882.0
1635,158078.86
1636,160131.58
1637,226331.77
1638,220913.77
1639,207343.08
1640,258962.88
1641,196057.36
1642,206786.23
1643,212638.8
1644,203002.12
1645,217139.12
1646,169217.31
1647,164701.77
1648,161297.69
1649,143401.4
1650,136135.7
1651,131098.05
1652,126389.05
1653,124508.45
1654,167023.02
1655,144814.12
1656,163000.02
1657,166983.98
1658,163097.23
1659,112468.86
1660,162139.42
1661,354216.47
1662,304657.3
1663,313074.7
1664,370429.28
1665,269276.84
1666,279724.75
1667,279969.06
1668,277406.62
1669,224746.2
1670,276062.12
1671,254826.67
1672,372670.47
1673,270843.53
1674,262355.1
1675,193604.19
1676,195319.23
1677,189874.16
1678,382951.78
1679,314183.0
1680,268669.84
1681,222395.48
1682,252881.03
1683,194189.08
1684,153455.2
1685,156415.73
1686,159366.97
1687,132520.73
1688,185056.58
1689,171498.39
1690,158683.02
1691,144973.83
1692,223950.6
1693,132656.77
1694,160116.08
1695,135908.8
1696,263538.22
1697,136963.55
1698,310840.4
1699,317833.66
1700,245381.89
1701,263195.16
1702,274212.5
1703,248563.08
1704,264355.34
1705,200290.23
1706,339915.9
1707,198795.45
1708,198758.11
1709,251281.83
1710,218411.97
1711,224806.14
1712,250388.61
1713,233941.08
1714,211572.67
1715,191544.9
1716,174510.4
1717,157951.52
1718,115816.3
1719,189235.16
1720,244201.44
1721,163174.81
1722,110991.984
1723,162999.64
1724,225715.23
1725,227268.5
1726,187624.08
1727,183552.28
1728,169621.2
1729,161285.48
1730,165949.44
1731,132851.8
1732,150469.53
1733,123991.55
1734,127201.36
1735,112017.94
1736,115197.61
1737,292329.78
1738,203219.39
1739,311198.25
1740,242144.92
1741,192223.23
1742,189040.48
1743,173181.52
1744,250600.9
1745,227440.02
1746,225063.14
1747,227498.66
1748,258482.94
1749,184701.55
1750,162729.5
1751,237877.14
1752,112451.22
1753,199624.7
1754,234190.89
1755,200163.08
1756,123153.09
1757,112064.125
1758,200250.53
1759,200790.31
1760,193932.16
1761,184648.48
1762,213251.1
1763,181541.52
1764,124401.64
1765,222420.48
1766,195800.3
1767,213461.36
1768,149813.02
1769,180887.89
1770,118959.92
1771,148034.56
1772,171582.3
1773,146850.58
1774,270423.34
1775,136580.88
1776,131647.75
1777,97596.44
1778,115458.83
1779,127421.0
1780,150883.02
1781,142621.45
1782,109392.75
1783,164512.08
1784,85866.44
1785,126534.36
1786,245977.88
1787,167214.69
1788,45602.24
1789,124353.234
1790,78248.08
1791,318258.78
1792,187768.98
1793,146679.81
